"huc10","combined"
"0107000301","Other rocks"
"0107000302","Other rocks"
"0107000103","Other rocks"
"0107000304","Other rocks"
"0107000305","Other rocks"
"0107000107","Other rocks"
"0108010302","Other rocks"
"0108010504","Other rocks"
"0108010502","Other rocks"
"0108010201","Other rocks"
"0108010305","Other rocks"
"0108010204","Other rocks"
"0108020301","c(""Other rocks"", ""New York and New England carbonate-rock aquifers"")"
"0108020302","Other rocks"
"0108020507","c(""Other rocks"", ""Early Mesozoic basin aquifers"")"
"0108020508","Other rocks"
"0108020305","c(""Other rocks"", ""Early Mesozoic basin aquifers"")"
"0108020404","c(""Other rocks"", ""Early Mesozoic basin aquifers"")"
"0108020602","Other rocks"
"0108020701","Other rocks"
"0108020704","c(""Other rocks"", ""Early Mesozoic basin aquifers"")"
"0108020705","c(""Other rocks"", ""Early Mesozoic basin aquifers"")"
"0108020104","Other rocks"
"0108020103","Other rocks"
"0108010703","Other rocks"
"0108010604","Other rocks"
"0108010402","Other rocks"
"0108020101","Other rocks"
"0108020403","Other rocks"
"0108020102","Other rocks"
"0108020503","Early Mesozoic basin aquifers"
"0108020506","c(""Other rocks"", ""Early Mesozoic basin aquifers"")"
"0108020105","c(""Other rocks"", ""Early Mesozoic basin aquifers"")"
"0108020202","c(""Other rocks"", ""Early Mesozoic basin aquifers"")"
"0108020201","Other rocks"
"0108010602","Other rocks"
"0108010404","Other rocks"
"0108010601","Other rocks"
"0108010505","Other rocks"
"0108010403","Other rocks"
"0108020603","c(""Other rocks"", ""Early Mesozoic basin aquifers"")"
"0108020702","c(""Other rocks"", ""New York and New England carbonate-rock aquifers"")"
"0108020703","Other rocks"
"0108010501","Other rocks"
"0108010503","Other rocks"
"0108010307","Other rocks"
"0108010401","Other rocks"
"0108010306","Other rocks"
"0108020107","c(""Other rocks"", ""Early Mesozoic basin aquifers"")"
"0108020106","c(""Other rocks"", ""Early Mesozoic basin aquifers"")"
"0108010704","Other rocks"
"0108010705","Other rocks"
"0108010701","Other rocks"
"0108010702","Other rocks"
"0108010606","Other rocks"
"0108010607","Other rocks"
"0108010605","Other rocks"
"0108010603","Other rocks"
"0108010203","Other rocks"
"0108010202","Other rocks"
"0108020303","Other rocks"
"0108020304","c(""Other rocks"", ""Early Mesozoic basin aquifers"")"
"0108020502","c(""Other rocks"", ""Early Mesozoic basin aquifers"")"
"0108020504","c(""Other rocks"", ""Early Mesozoic basin aquifers"")"
"0108020601","Other rocks"
"0108020402","Other rocks"
"0108020401","Other rocks"
"0108020509","Other rocks"
"0108020501","c(""Other rocks"", ""Early Mesozoic basin aquifers"")"
"0108020505","c(""Other rocks"", ""Early Mesozoic basin aquifers"")"
"0108020706","c(""Other rocks"", ""Early Mesozoic basin aquifers"")"
"0110000511","Other rocks"
"0110000301","Other rocks"
"0110000513","Other rocks"
"0110000401","c(""Other rocks"", ""Early Mesozoic basin aquifers"")"
"0110000107","Other rocks"
"0110000101","Other rocks"
"0110000104","Other rocks"
"0110000602","c(""Other rocks"", ""New York and New England carbonate-rock aquifers"", ""Other rocks"")"
"0110000203","Other rocks"
"0110000509","c(""Other rocks"", ""New York and New England carbonate-rock aquifers"", ""New York and New England carbonate-rock aquifers"")"
"0110000512","c(""Other rocks"", ""Early Mesozoic basin aquifers"")"
"0110000506","c(""Other rocks"", ""New York and New England carbonate-rock aquifers"", ""New York and New England carbonate-rock aquifers"", ""New York and New England carbonate-rock aquifers"", ""New York and New England carbonate-rock aquifers"")"
"0110000504","c(""Other rocks"", ""New York and New England carbonate-rock aquifers"")"
"0110000201","Other rocks"
"0110000202","Other rocks"
"0110000302","Other rocks"
"0110000403","c(""Other rocks"", ""Early Mesozoic basin aquifers"")"
"0110000503","c(""Other rocks"", ""New York and New England carbonate-rock aquifers"", ""New York and New England carbonate-rock aquifers"", ""Other rocks"", ""Other rocks"")"
"0110000507","c(""Other rocks"", ""New York and New England carbonate-rock aquifers"", ""New York and New England carbonate-rock aquifers"", ""New York and New England carbonate-rock aquifers"")"
"0110000508","c(""Other rocks"", ""New York and New England carbonate-rock aquifers"", ""New York and New England carbonate-rock aquifers"", ""New York and New England carbonate-rock aquifers"")"
"0110000510","Other rocks"
"0110000402","c(""Other rocks"", ""Early Mesozoic basin aquifers"")"
"0110000603","Other rocks"
"0110000604","c(""Other rocks"", ""New York and New England carbonate-rock aquifers"", ""New York and New England carbonate-rock aquifers"", ""New York and New England carbonate-rock aquifers"", ""New York and New England carbonate-rock aquifers"")"
"0110000505","c(""Other rocks"", ""New York and New England carbonate-rock aquifers"", ""New York and New England carbonate-rock aquifers"", ""New York and New England carbonate-rock aquifers"")"
"0110000501","c(""Other rocks"", ""New York and New England carbonate-rock aquifers"", ""Other rocks"", ""Other rocks"")"
"0110000502","c(""Other rocks"", ""New York and New England carbonate-rock aquifers"", ""Other rocks"", ""Other rocks"", ""New York and New England carbonate-rock aquifers"")"
"0110000601","c(""Other rocks"", ""New York and New England carbonate-rock aquifers"", ""New York and New England carbonate-rock aquifers"", ""New York and New England carbonate-rock aquifers"", ""Other rocks"")"
"0110000303","Other rocks"
"0202000606","c(""Other rocks"", ""New York and New England carbonate-rock aquifers"", ""New York sandstone aquifers"")"
"0202000301","Other rocks"
"0202000309","Other rocks"
"0202000302","c(""Other rocks"", ""New York and New England carbonate-rock aquifers"", ""New York and New England carbonate-rock aquifers"", ""New York and New England carbonate-rock aquifers"")"
"0202000307","c(""Other rocks"", ""New York and New England carbonate-rock aquifers"", ""New York and New England carbonate-rock aquifers"", ""New York and New England carbonate-rock aquifers"")"
"0202000406","c(""Other rocks"", ""New York and New England carbonate-rock aquifers"")"
"0202000701","c(""Valley and Ridge aquifers"", ""New York and New England carbonate-rock aquifers"", ""Piedmont and Blue Ridge crystalline-rock aquifers"")"
"0202000104","Other rocks"
"0202000102","Other rocks"
"0202000103","Other rocks"
"0202000201","Other rocks"
"0202000202","Other rocks"
"0202000203","Other rocks"
"0202000204","Other rocks"
"0202000205","Other rocks"
"0202000206","c(""Other rocks"", ""New York and New England carbonate-rock aquifers"")"
"0202000207","c(""Other rocks"", ""New York and New England carbonate-rock aquifers"")"
"0202000303","Other rocks"
"0202000304","c(""Other rocks"", ""New York and New England carbonate-rock aquifers"")"
"0202000305","c(""Other rocks"", ""New York and New England carbonate-rock aquifers"")"
"0202000310","c(""Other rocks"", ""New York and New England carbonate-rock aquifers"", ""New York sandstone aquifers"")"
"0202000311","Other rocks"
"0202000401","c(""Other rocks"", ""New York and New England carbonate-rock aquifers"")"
"0202000404","Other rocks"
"0202000405","c(""Other rocks"", ""New York and New England carbonate-rock aquifers"")"
"0202000506","c(""Other rocks"", ""New York and New England carbonate-rock aquifers"")"
"0202000603","c(""Other rocks"", ""New York sandstone aquifers"")"
"0202000604","c(""Other rocks"", ""New York and New England carbonate-rock aquifers"")"
"0202000605","c(""Other rocks"", ""New York and New England carbonate-rock aquifers"")"
